DIC,Mean collisions at zone 3 in March,95% confidence interval for collisions at zone 3 in March,Mean collisions at zone 15 in June,95% confidence interval for collisions at zone 15 in June,Mean collisions at zone 44 in September,95% confidence interval for collisions at zone 44 in September,Mean collisions at zone 50 in December,95% confidence interval for collisions at zone 50 in December
14615.66162086472,7.488202995807173,[7.40885731 7.5671356 ],7.488202995807173,[7.40885731 7.5671356 ],7.488202995807173,[7.40885731 7.5671356 ],7.488202995807173,[7.40885731 7.5671356 ]
14402.043594567145,6.819421160813219,[6.58248105 7.06721349],6.819421160813219,[7.23248795 7.76459331],8.558030575923194,[8.26090084 8.87062501],7.534981019008418,[7.27597869 7.80738285]
7034.342313393159,9.013227681265327,[8.57980107 9.46376604],9.013227681265327,[7.4343992  8.22589953],6.237846014568571,[5.82918053 6.67924653],9.123935345651958,[8.70973894 9.56685657]
6541.419582441204,8.184612404727298,[7.76084803 8.63117838],8.184612404727298,[7.41726189 8.24381425],7.144361963202953,[6.65345607 7.68511284],9.158911406180273,[ 9.90527489 10.9474371 ]
6540.024908462512,8.173388854711881,[7.75468482 8.61776182],8.173388854711881,[7.4058815  8.22998435],7.121626545060988,[6.64098509 7.65071531],9.179643172186926,[ 9.88215255 10.92447117]
6797.294899989332,8.19610198663927,[7.76663783 8.63984307],8.19610198663927,[7.4172133  8.24829405],6.740928054381297,[6.263763   7.31795626],9.162464890714253,[ 9.33686276 10.56384088]
12710.759560328981,8.015879449801751,[7.47773744 8.59729162],8.015879449801751,[7.06820876 7.74778277],7.294137388196323,[6.67078842 7.98812113],9.216367289177404,[ 9.77969364 11.19770485]
9802.511691329333,7.949676066074099,[7.46963005 8.46525675],7.949676066074099,[7.26151092 8.20625991],7.297247733379607,[6.75599408 7.86684324],8.92544556350429,[ 9.57118789 10.74106303]
